nama,total_aset,penghasilan_bulanan,pengeluaran_bulanan,total_hutang,bunga_hutang,Estimasi Lunas dalam Bulan,Estimasi Lunas dalam Tahun,Total Hutang Setelah menjual asset,Estimasi Lunas dalam Bulan setelah menjual setengah asset,Estimasi Lunas dalam Tahun setelah menjual setengah asset
Nina Bennett,"Rp102,792,001","Rp14,822,411","Rp2,029,725","Rp42,917,521",7.16,3.29,0.3,0,0.0,0.0
Emma Evans,"Rp359,390,340","Rp20,920,169","Rp11,184,536","Rp321,874,487",4.9,29.13,2.4,142179317,6.9,0.6
Julia Green,"Rp67,235,484","Rp6,978,702","Rp6,978,702","Rp24,575,137",12.18,98.52,8.2,0,0.0,0.0
Katherine Bartlett,"Rp374,375,204","Rp44,723,416","Rp21,748,999","Rp238,354,314",5.57,9.90,0.8,51166712,1.1,0.1
Kathy Sutton,"Rp474,836,005","Rp20,104,132","Rp20,104,132","Rp97,543,848",5.19,231.21,19.3,0,0.0,0.0
Kaitlin Wang,"Rp489,488,338","Rp6,597,706","Rp6,597,706","Rp122,882,416",4.26,281.69,23.5,0,0.0,0.0
Jennifer Mccormick,"Rp359,204,103","Rp41,060,986","Rp33,512,427","Rp295,283,086",2.82,35.82,3.0,115681035,7.4,0.6
Kristy Conrad,"Rp495,926,252","Rp3,605,409","Rp3,605,409","Rp5,578,526",4.59,261.44,21.8,0,0.0,0.0
Jessica Velasquez,"Rp33,020,885","Rp12,462,743","Rp12,462,743","Rp280,047,664",5.97,201.01,16.8,263537222,100.5,8.4
Frederick Rich,"Rp279,722,099","Rp14,377,787","Rp14,377,787","Rp52,799,289",10.44,114.94,9.6,0,0.0,0.0
Oscar Adkins,"Rp489,684,240","Rp24,827,621","Rp24,827,621","Rp146,805,404",1.88,638.30,53.2,0,0.0,0.0
Amanda Spencer,"Rp320,305,278","Rp44,892,167","Rp29,719,138","Rp206,227,417",3.95,13.01,1.1,46074778,1.5,0.1
Juan Baldwin,"Rp150,418,374","Rp38,280,122","Rp22,686,655","Rp391,713,361",12.33,19.97,1.7,316504174,8.4,0.7
Nancy Ruiz,"Rp486,745,944","Rp23,057,988","Rp15,726,569","Rp117,397,407",3.06,15.38,1.3,0,0.0,0.0
Kyle Day,"Rp404,659,116","Rp11,197,295","Rp7,627,745","Rp357,086,309",5.8,67.43,5.6,154756751,17.9,1.5
Anne Martinez,"Rp24,509,187","Rp8,809,041","Rp5,911,146","Rp94,020,624",13.11,23.95,2.0,81766031,10.8,0.9
Christopher Thomas,"Rp440,434,083","Rp15,546,501","Rp15,546,501","Rp274,249,878",3.17,378.55,31.5,54032837,189.3,15.8
Kari King,"Rp15,409,861","Rp41,641,700","Rp36,243,988","Rp362,626,967",2.16,59.93,5.0,354922037,29.4,2.4
Julie Thompson,"Rp367,260,539","Rp9,155,579","Rp9,155,579","Rp388,705,905",7.78,154.24,12.9,205075636,77.1,6.4
April Gordon,"Rp368,632,862","Rp3,403,119","Rp3,403,119","Rp399,999,559",5.23,229.45,19.1,215683128,114.7,9.6
Mark Miller,"Rp468,131,218","Rp19,556,827","Rp19,556,827","Rp21,406,440",8.89,134.98,11.2,0,0.0,0.0
Michael Washington,"Rp126,595,132","Rp33,495,692","Rp4,253,722","Rp393,139,397",12.25,11.82,1.0,329841831,5.1,0.4
Anthony Sanders,"Rp22,831,595","Rp35,027,216","Rp3,649,729","Rp286,099,179",2.92,8.92,0.7,274683382,4.3,0.4
Andrew Little,"Rp260,844,341","Rp49,263,335","Rp3,116,271","Rp360,260,223",9.13,7.37,0.6,229838053,2.4,0.2
Kimberly Henson,"Rp353,959,718","Rp36,957,164","Rp12,916,876","Rp289,628,124",8.08,11.14,0.9,112648265,2.3,0.2
Faith Miller,"Rp221,406,938","Rp4,950,013","Rp4,950,013","Rp245,034,459",3.02,397.35,33.1,134330990,198.7,16.6
Samuel Stevenson,"Rp144,666,073","Rp4,132,658","Rp4,132,658","Rp334,486,968",9.74,123.20,10.3,262153932,61.6,5.1
Lisa Potter,"Rp354,682,002","Rp40,877,058","Rp38,653,987","Rp26,173,866",4.83,11.24,0.9,0,0.0,0.0
Justin Perez,"Rp487,589,542","Rp20,434,167","Rp20,434,167","Rp92,588,498",7.83,153.26,12.8,0,0.0,0.0
Tiffany Richards,"Rp265,343,741","Rp28,177,127","Rp20,458,857","Rp284,105,672",2.15,34.53,2.9,151433802,9.5,0.8
Daniel Miller,"Rp25,814,828","Rp29,376,033","Rp19,443,381","Rp277,077,227",7.43,23.79,2.0,264169813,11.4,1.0
Christina Morales,"Rp58,763,532","Rp16,881,178","Rp16,881,178","Rp313,417,987",5.29,226.84,18.9,284036221,113.4,9.5
Emily Burns,"Rp139,716,977","Rp24,981,132","Rp23,253,537","Rp172,213,667",12.51,48.88,4.1,102355179,18.3,1.5
Amanda Ellis,"Rp412,269,403","Rp9,026,988","Rp9,026,988","Rp143,297,169",1.8,666.67,55.6,0,0.0,0.0
Molly Chan,"Rp316,974,333","Rp18,590,661","Rp18,590,661","Rp77,465,294",6.86,174.93,14.6,0,0.0,0.0
Mitchell Braun,"Rp251,820,729","Rp27,203,479","Rp27,203,479","Rp296,988,274",7.42,161.73,13.5,171077910,80.9,6.7
Benjamin Buck,"Rp83,851,335","Rp5,366,610","Rp5,366,610","Rp257,618,892",11.15,107.62,9.0,215693225,53.8,4.5
Nicholas Jackson,"Rp322,632,190","Rp40,734,735","Rp37,489,522","Rp208,514,962",9.04,43.30,3.6,47198867,6.6,0.5
Angela Stanley,"Rp113,982,440","Rp12,456,807","Rp12,456,807","Rp155,079,664",10.34,116.05,9.7,98088444,58.0,4.8
Lisa Krause,"Rp250,687,490","Rp49,860,379","Rp8,739,013","Rp14,937,093",11.88,0.36,0.0,0,0.0,0.0
Steven Curry,"Rp368,066,124","Rp32,342,048","Rp9,089,975","Rp14,955,951",13.07,0.64,0.1,0,0.0,0.0
Angela Chan,"Rp493,211,611","Rp7,684,346","Rp7,684,346","Rp268,372,343",5.39,222.63,18.6,21766538,111.3,9.3
Lisa Contreras,"Rp384,403,261","Rp37,012,730","Rp37,012,730","Rp387,588,875",8.53,140.68,11.7,195387245,70.3,5.9
Richard Clarke,"Rp118,331,512","Rp20,824,559","Rp13,768,963","Rp220,349,938",12.76,23.44,2.0,161184182,9.2,0.8
Jaime Bell,"Rp451,157,115","Rp25,496,936","Rp16,263,315","Rp388,495,588",14.85,27.67,2.3,162917031,7.2,0.6
Scott Walker,"Rp163,382,256","Rp28,271,052","Rp5,868,452","Rp271,370,745",13.45,10.67,0.9,189679617,3.9,0.3
Joshua King,"Rp366,015,512","Rp41,175,082","Rp31,171,429","Rp186,641,686",6.2,17.02,1.4,3633930,0.2,0.0
Juan Rose,"Rp131,848,736","Rp21,532,908","Rp21,532,908","Rp282,579,676",3.73,321.72,26.8,216655308,160.9,13.4
Joseph Edwards,"Rp433,465,893","Rp45,827,096","Rp10,074,037","Rp59,326,176",7.85,1.64,0.1,0,0.0,0.0
Kaitlyn James,"Rp273,435,380","Rp38,284,660","Rp36,867,175","Rp241,957,499",11.38,65.18,5.4,105239809,21.8,1.8
Jamie Pena,"Rp388,912,901","Rp38,501,225","Rp29,906,918","Rp38,122,266",7.9,4.31,0.4,0,0.0,0.0
Darrell Chapman,"Rp233,807,545","Rp42,669,950","Rp15,822,356","Rp343,688,631",7.76,11.82,1.0,226784859,4.0,0.3
Sean Cowan,"Rp62,203,051","Rp14,667,877","Rp14,667,877","Rp223,389,430",12.74,94.19,7.8,192287905,47.1,3.9
Lisa Willis,"Rp451,954,988","Rp10,393,979","Rp9,303,693","Rp23,740,105",6.06,19.62,1.6,0,0.0,0.0
Michelle Short,"Rp417,501,471","Rp13,115,078","Rp13,115,078","Rp65,627,118",13.04,92.02,7.7,0,0.0,0.0
Rhonda Hansen,"Rp250,539,820","Rp31,506,244","Rp12,108,631","Rp185,187,158",6.7,9.06,0.8,59917248,1.5,0.1
Ian Mata,"Rp195,370,428","Rp28,214,698","Rp9,983,439","Rp23,173,652",5.6,1.26,0.1,0,0.0,0.0
Ashley Hines,"Rp322,185,646","Rp38,177,004","Rp30,727,993","Rp383,154,900",7.36,39.10,3.3,222062077,12.6,1.1
Nathan Jenkins,"Rp79,334,164","Rp20,486,878","Rp20,486,878","Rp7,195,690",11.67,102.83,8.6,0,0.0,0.0
Mrs. Marie Smith,"Rp196,404,943","Rp25,098,345","Rp25,098,345","Rp182,749,004",2.76,434.78,36.2,84546533,217.4,18.1
John Rivera,"Rp128,975,349","Rp19,620,937","Rp11,546,263","Rp253,280,164",3.75,28.57,2.4,188792490,10.9,0.9
David Cameron,"Rp223,216,468","Rp34,984,287","Rp21,726,497","Rp396,046,048",14.32,22.02,1.8,284437814,8.5,0.7
Nathaniel Smith,"Rp199,475,579","Rp33,038,378","Rp26,133,277","Rp127,146,327",3.46,17.49,1.5,27408538,2.0,0.2
Heidi Huff,"Rp326,953,828","Rp45,413,492","Rp36,849,361","Rp52,406,955",8.95,5.85,0.5,0,0.0,0.0
Shannon Webb,"Rp22,842,659","Rp42,227,037","Rp38,059,026","Rp24,759,626",9.11,5.68,0.5,13338297,1.6,0.1
Sean Stein,"Rp241,302,370","Rp13,528,294","Rp13,528,294","Rp330,441,296",7.85,152.87,12.7,209790111,76.4,6.4
David Watson,"Rp312,413,458","Rp22,369,886","Rp22,369,886","Rp224,508,163",10.03,119.64,10.0,68301434,59.8,5.0
Susan Bender,"Rp415,026,323","Rp7,810,833","Rp7,810,833","Rp338,033,902",4.22,284.36,23.7,130520741,142.2,11.8
Christina Murray,"Rp333,988,920","Rp26,480,675","Rp26,480,675","Rp301,276,760",8.74,137.30,11.4,134282300,68.6,5.7
Wendy Larsen,"Rp109,204,497","Rp42,972,097","Rp35,997,463","Rp211,382,685",6.21,26.20,2.2,156780437,10.1,0.8
Christina Willis,"Rp187,018,926","Rp20,219,277","Rp20,219,277","Rp86,467,080",10.26,116.96,9.7,0,0.0,0.0
Louis Jackson,"Rp28,892,008","Rp31,500,556","Rp17,663,645","Rp141,682,450",2.98,9.99,0.8,127236446,4.5,0.4
Alexander Stark,"Rp404,317,104","Rp35,073,692","Rp21,567,589","Rp45,113,874",8.99,3.26,0.3,0,0.0,0.0
Erica Odom,"Rp313,863,309","Rp40,316,107","Rp30,849,268","Rp87,245,259",3.59,8.97,0.7,0,0.0,0.0
Sarah Roach,"Rp201,100,046","Rp30,427,110","Rp30,427,110","Rp211,957,353",4.9,244.90,20.4,111407330,122.4,10.2
Arthur Vega,"Rp351,626,270","Rp27,192,961","Rp9,061,183","Rp356,327,535",4.06,18.43,1.5,180514400,4.8,0.4
Matthew Jones,"Rp20,986,868","Rp27,859,871","Rp22,064,274","Rp48,465,574",3.56,8.16,0.7,37972140,3.2,0.3
Leslie Vasquez,"Rp318,915,765","Rp28,654,796","Rp13,592,111","Rp6,722,907",12.56,0.44,0.0,0,0.0,0.0
Drew Rogers,"Rp372,127,221","Rp35,435,245","Rp31,324,003","Rp252,944,744",5,48.97,4.1,66881134,7.6,0.6
Jessica Perkins,"Rp49,521,538","Rp32,263,888","Rp2,290,998","Rp360,192,110",13.98,10.54,0.9,335431341,5.0,0.4
Eric Briggs,"Rp122,347,791","Rp30,783,527","Rp6,855,920","Rp365,273,553",14.58,12.88,1.1,304099658,5.5,0.5
Julie Myers,"Rp491,468,886","Rp45,106,078","Rp8,367,712","Rp45,476,415",9,1.23,0.1,0,0.0,0.0
Meghan Nolan,"Rp205,190,712","Rp10,281,505","Rp9,997,043","Rp94,252,066",3,181.22,15.1,0,0.0,0.0
Chelsea Sullivan,"Rp182,891,082","Rp41,679,227","Rp2,181,360","Rp17,374,888",6.24,0.44,0.0,0,0.0,0.0
Megan Payne,"Rp142,985,867","Rp41,965,695","Rp21,221,242","Rp229,863,099",12.17,9.96,0.8,158370166,3.5,0.3
Brittany Smith,"Rp369,499,081","Rp40,518,167","Rp21,292,635","Rp80,452,392",6.14,4.10,0.3,0,0.0,0.0
Robert Mendoza,"Rp333,889,887","Rp29,540,396","Rp7,532,410","Rp267,091,788",2.22,11.87,1.0,100146845,2.3,0.2
Larry West,"Rp258,523,535","Rp17,812,143","Rp6,138,286","Rp183,260,177",8.79,14.08,1.2,53998410,2.2,0.2
Whitney Hoover,"Rp75,557,447","Rp11,989,138","Rp11,989,138","Rp228,636,196",12.83,93.53,7.8,190857473,46.8,3.9
William Collins,"Rp93,845,477","Rp15,037,574","Rp10,333,100","Rp315,010,252",12.14,39.92,3.3,268087514,18.1,1.5
Kevin Smith,"Rp356,418,123","Rp46,020,873","Rp8,893,728","Rp180,223,907",3.45,4.79,0.4,2014846,0.0,0.0
Ashley Phillips,"Rp468,513,815","Rp47,520,680","Rp20,904,815","Rp378,636,623",10.42,12.66,1.1,144379716,2.6,0.2
Dr. April Davis,"Rp377,907,188","Rp45,378,463","Rp29,391,022","Rp143,957,128",4.09,8.74,0.7,0,0.0,0.0
Melvin Thompson,"Rp127,601,287","Rp9,555,035","Rp9,555,035","Rp27,148,023",4.05,296.30,24.7,0,0.0,0.0
Robert White,"Rp201,898,745","Rp35,735,803","Rp17,697,605","Rp102,552,341",13.24,5.35,0.4,1602969,0.0,0.0
Carla Martin,"Rp281,103,323","Rp35,737,614","Rp30,997,166","Rp394,728,224",4.5,63.45,5.3,254176563,22.3,1.9
Derek Johnson,"Rp103,837,987","Rp46,607,261","Rp39,937,226","Rp203,601,827",4.69,27.27,2.3,151682834,10.4,0.9
Teresa Williams,"Rp390,956,761","Rp18,886,372","Rp18,886,372","Rp231,830,956",1.01,1188.12,99.0,36352576,594.1,49.5
Suzanne Harrison,"Rp66,987,271","Rp40,622,748","Rp40,622,748","Rp22,278,806",13.19,90.98,7.6,0,0.0,0.0
Christopher Rios,"Rp453,894,457","Rp35,456,981","Rp35,456,981","Rp159,355,436",12.1,99.17,8.3,0,0.0,0.0
Matthew Torres,"Rp458,372,027","Rp11,067,987","Rp11,067,987","Rp199,568,353",9.78,122.70,10.2,0,0.0,0.0
Luis Holmes,"Rp369,300,273","Rp4,656,671","Rp4,656,671","Rp89,758,408",11.5,104.35,8.7,0,0.0,0.0
William Smith,"Rp78,452,891","Rp25,458,851","Rp25,458,851","Rp54,825,495",3.13,383.39,31.9,15599050,191.7,16.0
Stephanie Thompson,"Rp343,867,739","Rp25,922,481","Rp25,922,481","Rp244,690,503",7.42,161.73,13.5,72756634,80.9,6.7
Mark Fuller,"Rp483,928,548","Rp45,081,603","Rp38,793,968","Rp119,416,902",5.92,17.37,1.4,0,0.0,0.0
Kyle Barnes,"Rp436,897,448","Rp20,560,282","Rp20,560,282","Rp8,110,691",2.31,519.48,43.3,0,0.0,0.0
Patrick Lynn,"Rp52,734,307","Rp46,497,663","Rp17,341,821","Rp286,867,291",7.81,9.25,0.8,260500138,4.2,0.4
Christopher Powell,"Rp487,646,527","Rp24,677,072","Rp24,677,072","Rp90,180,395",13.89,86.39,7.2,0,0.0,0.0
Corey Mcmahon,"Rp346,041,882","Rp26,017,995","Rp26,017,995","Rp229,191,403",1.56,769.23,64.1,56170462,384.6,32.1
Deborah Young,"Rp324,227,189","Rp23,833,173","Rp12,538,832","Rp91,461,588",5.08,7.83,0.7,0,0.0,0.0
Danielle Black,"Rp148,795,966","Rp26,394,704","Rp26,394,704","Rp250,645,851",3.91,306.91,25.6,176247868,153.5,12.8
Melissa Dixon,"Rp165,032,720","Rp20,375,113","Rp9,948,140","Rp383,845,671",4.33,32.50,2.7,301329311,13.1,1.1
Gabriel Jones,"Rp137,833,288","Rp23,718,453","Rp7,720,626","Rp323,752,181",13.72,16.43,1.4,254835537,6.7,0.6
Timothy Cole,"Rp265,669,152","Rp12,161,408","Rp12,161,408","Rp345,055,104",7.55,158.94,13.2,212220528,79.5,6.6
Tanya Jackson,"Rp165,506,676","Rp40,214,417","Rp40,214,417","Rp70,347,939",7.53,159.36,13.3,0,0.0,0.0
Jocelyn Williams,"Rp283,997,523","Rp27,796,429","Rp27,796,429","Rp371,538,260",11.65,103.00,8.6,229539499,51.5,4.3
Christopher Mccoy,"Rp451,444,812","Rp23,353,727","Rp23,353,727","Rp165,673,019",3.16,379.75,31.6,0,0.0,0.0
Hunter Briggs,"Rp266,543,451","Rp20,941,166","Rp20,941,166","Rp189,713,450",7.82,153.45,12.8,56441725,76.7,6.4
Jon Oliver,"Rp100,012,399","Rp3,549,148","Rp3,549,148","Rp184,815,948",7.02,170.94,14.2,134809749,85.5,7.1
Christopher Davenport,"Rp171,563,548","Rp39,328,139","Rp10,221,252","Rp254,503,032",9.36,8.19,0.7,168721258,2.8,0.2
Reginald Galloway,"Rp45,154,828","Rp32,844,218","Rp32,844,218","Rp319,861,616",14.99,80.05,6.7,297284202,40.0,3.3
Tara Rodriguez,"Rp164,306,093","Rp24,845,218","Rp24,845,218","Rp142,504,821",11.77,101.95,8.5,60351775,51.0,4.2
Mallory Fields,"Rp337,278,114","Rp5,773,939","Rp5,773,939","Rp73,126,345",6.57,182.65,15.2,0,0.0,0.0
James Walker,"Rp321,545,084","Rp38,490,172","Rp14,429,667","Rp193,144,180",12.59,7.40,0.6,32371638,0.7,0.1
Calvin Thompson,"Rp291,457,029","Rp39,989,387","Rp38,421,189","Rp80,559,979",3.39,44.86,3.7,0,0.0,0.0
Samuel Johnson,"Rp331,263,185","Rp41,491,142","Rp28,502,745","Rp372,134,772",1.43,27.71,2.3,206503180,7.8,0.7
Andrea Lewis,"Rp188,838,386","Rp16,426,716","Rp12,636,547","Rp275,773,833",3.86,58.96,4.9,181354640,20.7,1.7
Zachary Riley,"Rp442,587,007","Rp30,911,050","Rp14,743,293","Rp68,107,629",5.77,4.13,0.3,0,0.0,0.0
Oscar Campbell,"Rp358,590,788","Rp41,710,304","Rp41,467,750","Rp22,583,780",8.15,57.04,4.8,0,0.0,0.0
Morgan Young,"Rp497,114,542","Rp21,331,726","Rp15,487,010","Rp159,913,893",9.61,22.44,1.9,0,0.0,0.0
Gregory Dixon,"Rp199,736,856","Rp29,996,639","Rp29,996,639","Rp380,146,263",13.75,87.27,7.3,280277835,43.6,3.6
Andrew Holt,"Rp195,727,425","Rp23,540,338","Rp13,416,757","Rp384,096,833",8.14,30.17,2.5,286233121,11.9,1.0
Jeffrey Jacobson,"Rp365,401,737","Rp13,774,986","Rp13,774,986","Rp88,011,541",8.02,149.63,12.5,0,0.0,0.0
Kyle Davis,"Rp257,941,943","Rp7,421,590","Rp5,651,387","Rp367,422,096",1.7,160.40,13.4,238451125,56.6,4.7
Valerie Jordan,"Rp17,136,029","Rp39,089,369","Rp29,270,507","Rp322,165,965",1.49,31.53,2.6,313597951,15.4,1.3
Ruth Taylor,"Rp231,568,250","Rp14,546,081","Rp14,546,081","Rp170,969,033",8.72,137.61,11.5,55184908,68.8,5.7
Matthew Owens,"Rp204,212,716","Rp37,366,893","Rp7,905,950","Rp139,955,682",7.13,4.62,0.4,37849324,0.6,0.1
Jesse Love,"Rp181,086,852","Rp32,221,379","Rp5,212,883","Rp130,798,510",12.75,4.61,0.4,40255084,0.7,0.1
Shannon Smith,"Rp123,245,302","Rp21,495,440","Rp5,028,631","Rp349,640,101",3.25,20.08,1.7,288017450,8.3,0.7
Beverly Webb,"Rp165,714,551","Rp39,265,058","Rp16,218,200","Rp137,876,304",1.35,5.94,0.5,55019029,1.2,0.1
Nicholas Powell,"Rp16,285,088","Rp47,924,392","Rp16,987,811","Rp138,426,955",7.29,4.36,0.4,130284411,2.1,0.2
Andrew White,"Rp128,550,901","Rp34,670,310","Rp29,736,989","Rp76,619,443",4.32,14.71,1.2,12343993,1.2,0.1
Ricardo Madden,"Rp270,074,560","Rp29,552,476","Rp8,423,959","Rp47,622,487",1.69,2.25,0.2,0,0.0,0.0
Shannon Ford,"Rp462,561,041","Rp9,440,010","Rp6,024,733","Rp387,660,778",11.14,55.27,4.6,156380258,16.1,1.3
Crystal Rivera,"Rp492,222,303","Rp11,674,163","Rp11,674,163","Rp16,368,856",2.56,468.75,39.1,0,0.0,0.0
Joanne Noble,"Rp483,674,990","Rp21,279,553","Rp21,279,553","Rp385,101,347",9.52,126.05,10.5,143263852,63.0,5.3
George Johnson,"Rp119,164,720","Rp33,914,222","Rp2,019,675","Rp183,914,681",4.93,5.63,0.5,124332321,1.9,0.2
Joan Hernandez,"Rp17,468,810","Rp40,041,101","Rp27,239,821","Rp86,743,035",3.43,6.65,0.6,78008630,3.0,0.2
Joshua Everett,"Rp414,288,340","Rp30,209,162","Rp28,133,385","Rp102,270,617",6.32,39.12,3.3,0,0.0,0.0
Stephen Schroeder,"Rp35,301,054","Rp35,790,042","Rp29,164,495","Rp230,667,301",12.22,25.70,2.1,213016774,12.1,1.0
Christopher Peters,"Rp87,264,088","Rp40,277,378","Rp40,277,378","Rp57,866,880",6.49,184.90,15.4,14234836,92.4,7.7
Michael Garza,"Rp417,654,229","Rp46,429,245","Rp32,115,806","Rp270,703,251",11.51,16.01,1.3,61876137,2.1,0.2
Sarah Brandt,"Rp350,007,738","Rp47,808,939","Rp6,464,344","Rp348,249,014",2.76,8.26,0.7,173245145,2.1,0.2
Ryan Fitzgerald,"Rp405,647,770","Rp3,224,695","Rp3,224,695","Rp108,042,203",11.82,101.52,8.5,0,0.0,0.0
Melinda Ruiz,"Rp306,702,640","Rp47,924,507","Rp14,310,059","Rp79,099,471",4.32,2.33,0.2,0,0.0,0.0
Robin Yates,"Rp389,368,908","Rp29,267,668","Rp2,566,088","Rp103,447,022",10.48,3.75,0.3,0,0.0,0.0
Andrew Parrish,"Rp282,781,216","Rp17,063,918","Rp15,727,532","Rp96,465,831",8.92,46.98,3.9,0,0.0,0.0
Matthew Lucas,"Rp412,409,057","Rp32,933,317","Rp32,933,317","Rp32,995,739",14.01,85.65,7.1,0,0.0,0.0
Matthew Greene,"Rp168,148,712","Rp46,353,746","Rp12,151,607","Rp7,363,162",6.42,0.22,0.0,0,0.0,0.0
Diane Thomas,"Rp181,023,458","Rp39,894,648","Rp2,658,003","Rp328,649,013",1.93,8.70,0.7,238137284,3.2,0.3
James Wright,"Rp48,019,582","Rp23,610,500","Rp2,805,113","Rp77,789,684",1.27,3.72,0.3,53779893,1.3,0.1
John Owens,"Rp110,532,608","Rp16,245,696","Rp11,322,004","Rp333,070,825",12.58,39.58,3.3,277804521,17.7,1.5
Ricky Moody,"Rp68,720,660","Rp38,402,297","Rp7,028,035","Rp91,578,874",8.35,2.86,0.2,57218544,0.9,0.1
Kimberly Smith,"Rp252,130,927","Rp17,921,595","Rp13,551,409","Rp37,557,230",11.85,7.92,0.7,0,0.0,0.0
Kevin Brady,"Rp333,664,694","Rp27,363,941","Rp22,811,680","Rp250,481,181",4.28,46.00,3.8,83648834,8.6,0.7
Christopher Garza,"Rp296,536,155","Rp45,862,524","Rp28,769,370","Rp248,692,964",5.83,13.59,1.1,100424887,2.9,0.2
Chris Anderson,"Rp280,157,776","Rp40,571,568","Rp17,433,222","Rp71,927,749",1.42,3.10,0.3,0,0.0,0.0
Juan Blake,"Rp157,516,100","Rp42,304,715","Rp37,646,533","Rp264,878,278",14.46,33.74,2.8,186120228,13.5,1.1
Scott Sanchez,"Rp173,920,642","Rp4,074,961","Rp4,074,961","Rp80,386,847",10.35,115.94,9.7,0,0.0,0.0
Bryan Harris,"Rp248,077,364","Rp24,402,894","Rp12,347,918","Rp357,614,111",14.06,22.01,1.8,233575429,7.9,0.7
Kaylee Robinson,"Rp375,714,454","Rp14,950,571","Rp14,950,571","Rp191,009,076",4.72,254.24,21.2,3151849,127.1,10.6
Melissa Brown,"Rp91,550,308","Rp22,155,151","Rp22,155,151","Rp399,293,912",9.56,125.52,10.5,353518758,62.8,5.2
Brittany Fischer,"Rp444,310,708","Rp15,866,619","Rp8,208,714","Rp104,393,568",10.5,12.18,1.0,0,0.0,0.0
Kimberly Adams,"Rp309,641,508","Rp5,474,968","Rp5,474,968","Rp82,139,897",5.45,220.18,18.3,0,0.0,0.0
Allen Fowler,"Rp40,413,513","Rp42,720,592","Rp32,647,215","Rp77,412,984",12.87,7.10,0.6,57206228,2.7,0.2
Mary Caldwell,"Rp437,982,281","Rp25,749,774","Rp14,124,052","Rp308,437,835",14.26,20.17,1.7,89446695,3.5,0.3
Jennifer Romero,"Rp22,243,026","Rp5,442,266","Rp5,442,266","Rp10,813,775",13.39,89.62,7.5,0,0.0,0.0
Sandra Rogers,"Rp334,459,597","Rp7,437,677","Rp7,437,677","Rp297,455,119",11.35,105.73,8.8,130225321,52.9,4.4
Jeremy Foster,"Rp353,792,072","Rp12,607,366","Rp12,607,366","Rp218,891,626",4.88,245.90,20.5,41995590,123.0,10.2
Kristin Martinez,"Rp27,864,557","Rp8,241,218","Rp8,241,218","Rp168,240,308",4.94,242.91,20.2,154308030,121.5,10.1
Jonathan Liu,"Rp16,195,200","Rp29,821,567","Rp29,512,406","Rp97,164,579",14.49,65.54,5.5,89066979,32.2,2.7
Timothy Allen,"Rp349,521,586","Rp8,481,140","Rp8,481,140","Rp212,799,244",1.14,1052.63,87.7,38038451,526.3,43.9
Clinton Mason,"Rp116,222,252","Rp26,991,831","Rp14,155,863","Rp23,275,555",11.02,1.78,0.1,0,0.0,0.0
David Gray,"Rp466,016,588","Rp34,247,234","Rp15,981,528","Rp222,239,858",10.89,10.96,0.9,0,0.0,0.0
Elizabeth Ellis,"Rp363,165,059","Rp41,535,694","Rp41,535,694","Rp106,339,592",9.72,123.46,10.3,0,0.0,0.0
Kimberly Warner,"Rp455,142,461","Rp8,290,717","Rp8,290,717","Rp206,705,631",14.86,80.75,6.7,0,0.0,0.0
Margaret Brown,"Rp23,832,640","Rp37,072,781","Rp22,275,624","Rp106,192,010",5.37,6.95,0.6,94275690,3.1,0.3
Stephanie Reeves,"Rp210,577,904","Rp22,659,206","Rp22,659,206","Rp347,579,975",5.76,208.33,17.4,242291023,104.2,8.7
Juan Guerra,"Rp40,061,031","Rp3,797,968","Rp3,797,968","Rp147,586,080",2.11,568.72,47.4,127555565,284.4,23.7
Tiffany Morris,"Rp211,418,785","Rp39,210,403","Rp30,204,739","Rp135,464,472",7.2,13.80,1.1,29755080,1.6,0.1
Luis Williams,"Rp474,555,355","Rp32,163,439","Rp6,151,785","Rp181,713,207",4.65,6.80,0.6,0,0.0,0.0
Christine Escobar,"Rp90,197,726","Rp34,007,736","Rp31,489,478","Rp361,464,071",5.81,84.68,7.1,316365208,39.1,3.3
Amanda Vance,"Rp497,726,151","Rp22,651,515","Rp22,651,515","Rp357,594,988",12.68,94.64,7.9,108731913,47.3,3.9
Ashley Meyer,"Rp105,282,726","Rp10,339,838","Rp10,339,838","Rp103,806,997",14.1,85.11,7.1,51165634,42.6,3.5
Jennifer King,"Rp210,030,361","Rp49,791,381","Rp39,192,252","Rp122,371,962",3.6,11.16,0.9,17356782,0.8,0.1
Jonathan Munoz,"Rp97,220,897","Rp19,520,181","Rp5,284,321","Rp232,271,299",6.22,15.04,1.3,183660851,6.0,0.5
Adam English,"Rp444,696,629","Rp17,467,188","Rp17,467,188","Rp110,034,343",14,85.71,7.1,0,0.0,0.0
Samantha Garrett,"Rp105,856,757","Rp5,938,199","Rp5,938,199","Rp287,157,250",1.87,641.71,53.5,234228872,320.9,26.7
Samantha Washington,"Rp359,487,874","Rp11,998,604","Rp11,998,604","Rp370,653,916",2.29,524.02,43.7,190909979,262.0,21.8
Douglas Sanchez,"Rp96,601,594","Rp41,464,208","Rp10,433,840","Rp272,913,372",3.28,8.59,0.7,224612575,3.5,0.3
